Id,Size,HistoricalPrice,CurrentPrice
1,3974,694588,803736.350654418
2,1660,414584,471629.3702211707
3,2094,740332,843646.5131709137
4,1930,554896,585154.8269442109
5,1895,226984,265602.993193676
6,3892,480918,495301.0295292032
7,2438,442712,499973.6338855253
8,2969,298151,360620.4267645436
9,1266,633808,665798.3076420785
10,2038,311767,334116.05278674664
11,1130,314330,347329.1706793999
12,2282,658754,708046.0699474169
13,2935,479648,490424.16933079966
14,3971,191986,211842.7565640555
15,3719,307312,321720.26605637016
16,930,190666,214247.4987189744
17,2485,478804,504673.19994759595
18,1569,312633,368124.33214219246
19,3191,466998,495408.91394927807
20,2315,462806,501633.99989654584
21,3653,208535,237870.8406462092
22,3233,553713,575007.0213377203
23,2015,529279,588226.388336367
24,1755,667570,651780.4643063943
25,3124,634551,647004.595301297
26,1984,451109,500384.3997644325
27,1259,202538,225423.60706907438
28,821,379664,432471.899939523
29,3100,669234,694766.9263978109
30,1547,317182,327958.94652743515
31,3704,650525,732554.3018486467
32,1274,336338,374966.1615512952
33,1882,362064,402805.12216838147
34,3358,392020,438012.7313543503
35,2847,297176,316789.2486670095
36,3547,396126,440338.68640208006
37,1775,396969,442482.93433264527
38,2606,300409,319720.0202431058
39,989,725707,865977.9811579665
40,3805,431618,485005.54088290525
41,3534,228015,237234.74665426693
42,3805,300096,339957.05558682897
43,1362,363340,381966.9580969803
44,2699,288687,328916.7546500299
45,2067,589357,682434.0207328533
46,3679,283878,300617.1172415477
47,2328,376286,432039.8475084415
48,1446,342899,384266.00835327996
49,2868,502767,573708.9360229976
50,3688,557989,666707.3809799047
51,3014,593515,645584.4236165278
52,2097,221585,235392.6686010423
53,3235,549369,579872.3173655529
54,1400,242044,256375.30076929132
55,3163,620296,679934.3059028635
56,2861,287556,321216.61486351874
57,1041,704981,785232.1878201239
58,2841,378235,431701.98280995706
59,3624,203939,224465.47964138445
60,3412,330906,388045.75736679096
61,3745,720335,782836.4210014768
62,2163,466249,576287.7076876622
63,2939,253766,287081.25500864675
64,2190,586923,620461.0257757744
65,3803,593192,620748.9568645067
66,2278,746550,839214.4890799901
67,3356,565261,615471.3601251963
68,1575,632589,718431.3429278613
69,834,315848,354906.3578623153
70,3053,305948,335428.70699152275
71,3952,580690,614172.7677927429
72,2755,677046,693469.5372957669
73,2385,629269,678146.9991313869
74,3873,199959,228517.1323257064
75,1821,406576,451585.86890567414
76,3413,715833,742829.2536409132
77,1929,343838,381199.10915914096
78,2300,513674,574937.7759857415
79,1502,239087,252429.75885754902
80,3249,296451,328374.69806913286
81,3577,625600,689980.7687129909
82,2379,617792,644265.3046881312
83,961,217353,242976.60780668905
84,1001,371075,418587.15590610466
85,2781,392283,452754.42954132636
86,1795,492877,568134.4397000404
87,3117,243318,250889.21223637086
88,1615,660690,695778.418718924
89,1255,594880,669687.2089878544
90,2075,271264,305358.98160941247
91,1816,403281,453994.5472990595
92,3143,572070,739478.6051929424
93,3567,530228,598385.9066851909
94,1137,609839,705448.5107221048
95,1678,447536,513637.1066613347
96,1876,495824,561555.1707893724
97,1591,435426,472104.7786941617
98,3064,355789,404869.544999504
99,1563,691153,733561.2767248356
100,3035,303657,330427.1186166575
